"num","title","rating","votes"
1,"The Seinfeld Chronicles",7.9,1951
1.1,"The Stakeout",7.8,1416
1.2,"The Robbery",7.7,1248
1.3,"Male Unbonding",7.5,1250
1.4,"The Stock Tip",7.7,1179
2.1,"The Ex-Girlfriend",7.8,1141
2.2,"The Pony Remark",8.1,1213
2.3,"The Jacket",8.5,1194
2.4,"The Phone Message",8.6,1179
2.5,"The Apartment",8.1,1069
2.6,"The Statue",8.2,1073
2.7,"The Revenge",8.5,1078
2.8,"The Heart Attack",8.2,1085
2.9,"The Deal",8.4,1069
2.1,"The Baby Shower",7.8,1090
2.11,"The Chinese Restaurant",8.9,1402
2.12,"The Busboy",7.9,1082
3.1,"The Note",8.4,1084
3.2,"The Truth",8,999
3.3,"The Pen",8.5,1088
3.4,"The Dog",7.4,1044
3.5,"The Library",8.9,1299
3.6,"The Parking Garage",8.9,1275
3.7,"The Cafe",8.6,1018
3.8,"The Tape",8.8,1058
3.9,"The Nose Job",8.2,1020
3.1,"The Stranded",7.6,1059
3.11,"The Alternate Side",8.6,1011
3.12,"The Red Dot",8.6,1029
3.13,"The Subway",8.9,1109
3.14,"The Pez Dispenser",8.7,1048
3.15,"The Suicide",7.8,910
3.16,"The Fix Up",8.5,992
3.17,"The Boyfriend: Part 1",9,1150
3.18,"The Boyfriend: Part 2",8.9,1059
3.19,"The Limo",9,1248
3.2,"The Good Samaritan",8.1,931
3.21,"The Letter",8.1,915
3.22,"The Parking Space",8.5,970
3.23,"The Keys",8.7,943
4.1,"The Trip: Part 1",8.4,955
4.2,"The Trip: Part 2",8.6,951
4.3,"The Pitch",8.8,956
4.4,"The Ticket",8.6,882
4.5,"The Wallet",8.2,868
4.6,"The Watch",8.3,857
4.7,"The Bubble Boy",9,1229
4.8,"The Cheever Letters",8.7,954
4.9,"The Opera",8.5,935
4.1,"The Virgin",8.4,906
4.11,"The Contest",9.6,2600
4.12,"The Airport",9,1136
4.13,"The Pick",8.7,982
4.14,"The Movie",8.4,919
4.15,"The Visa",8.3,867
4.16,"The Shoes",8.5,906
4.17,"The Outing",9.4,1584
4.18,"The Old Man",8.4,948
4.19,"The Implant",8.8,983
4.2,"The Junior Mint",8.9,1089
4.21,"The Smelly Car",8.7,955
4.22,"The Handicap Spot",8.5,875
4.23,"The Pilot",8.9,1032
5.1,"The Mango",8.8,983
5.2,"The Puffy Shirt",9.1,1170
5.3,"The Glasses",8.5,909
5.4,"The Sniffing Accountant",8.4,876
5.5,"The Bris",8.3,945
5.6,"The Lip Reader",8.7,899
5.7,"The Non-Fat Yogurt",8.7,938
5.8,"The Barber",8.4,880
5.9,"The Masseuse",8.1,851
5.1,"The Cigar Store Indian",8.6,944
5.11,"The Conversion",8.4,850
5.12,"The Stall",8.9,958
5.13,"The Dinner Party",8.5,852
5.14,"The Marine Biologist",9.3,1469
5.15,"The Pie",8.7,902
5.16,"The Stand-In",8.1,825
5.17,"The Wife",8.2,837
5.18,"The Raincoats",8.7,858
5.19,"The Fire",8.9,997
5.2,"The Hamptons",9.1,1213
5.21,"The Opposite",9.5,1755
6.1,"The Chaperone",8.2,833
6.2,"The Big Salad",8.4,877
6.3,"The Pledge Drive",8.4,838
6.4,"The Chinese Woman",8.4,832
6.5,"The Couch",8.5,803
6.6,"The Gymnast",8.5,840
6.7,"The Soup",8.5,813
6.8,"The Mom and Pop Store",8.4,801
6.9,"The Secretary",8.3,779
6.1,"The Race",9.1,1128
6.11,"The Switch",9,1076
6.12,"The Label Maker",8.8,826
6.13,"The Scofflaw",8.4,772
6.14,"Highlights of a Hundred",7.5,668
6.15,"The Beard",8.5,776
6.16,"The Kiss Hello",8.4,769
6.17,"The Doorman",8.6,821
6.18,"The Jimmy",9.1,1134
6.19,"The Doodle",8.6,770
6.2,"The Fusilli Jerry",8.9,923
6.21,"The Diplomat's Club",8.3,756
6.22,"The Face Painter",8.6,822
6.23,"The Understudy",8.3,805
7.1,"The Engagement",8.8,841
7.2,"The Postponement",8.4,742
7.3,"The Maestro",8.3,803
7.4,"The Wink",8.9,895
7.5,"The Hot Tub",8.9,874
7.6,"The Soup Nazi",9.6,2312
7.7,"The Secret Code",8.6,787
7.8,"The Pool Guy",8.5,766
7.9,"The Sponge",8.6,823
7.1,"The Gum",8.9,945
7.11,"The Rye",9,926
7.12,"The Caddy",8.8,797
7.13,"The Seven",8.4,732
7.14,"The Cadillac",8.7,843
7.15,"The Shower Head",8.6,779
7.16,"The Doll",8.4,753
7.17,"The Friars Club",8.1,734
7.18,"The Wig Master",8.4,757
7.19,"The Calzone",9,909
7.2,"The Bottle Deposit",8.9,885
7.21,"The Wait Out",8.5,741
7.22,"The Invitations",8.9,888
8.1,"The Foundation",8.5,766
8.2,"The Soul Mate",8.3,749
8.3,"The Bizarro Jerry",9.2,1219
8.4,"The Little Kicks",9.1,1010
8.5,"The Package",8.8,790
8.6,"The Fatigues",8.4,755
8.7,"The Checks",8.4,764
8.8,"The Chicken Roaster",9.1,1104
8.9,"The Abstinence",9,942
8.1,"The Andrea Doria",8.6,748
8.11,"The Little Jerry",8.7,841
8.12,"The Money",8.1,723
8.13,"The Comeback",8.9,936
8.14,"The Van Buren Boys",8.3,765
8.15,"The Susie",8.7,840
8.16,"The Pothole",8.8,845
8.17,"The English Patient",8.7,865
8.18,"The Nap",9,857
8.19,"The Yada Yada",9.1,1158
8.2,"The Millennium",8.3,763
8.21,"The Muffin Tops",8.7,865
8.22,"The Summer of George",8.8,873
9.1,"The Butter Shave",8.7,912
9.2,"The Voice",8.8,899
9.3,"The Serenity Now",9.1,1064
9.4,"The Blood",8.4,796
9.5,"The Junk Mail",8.4,785
9.6,"The Merv Griffin Show",9.1,1206
9.7,"The Slicer",8.5,801
9.8,"The Betrayal",9.1,1304
9.9,"The Apology",8.5,792
9.1,"The Strike",8.9,1040
9.11,"The Dealership",8.7,843
9.12,"The Reverse Peephole",8.7,807
9.13,"The Cartoon",8.2,771
9.14,"The Strongbox",8.3,760
9.15,"The Wizard",8.3,734
9.16,"The Burning",8.6,801
9.17,"The Bookstore",8.6,753
9.18,"The Frogger",9,986
9.19,"The Maid",8.3,744
9.2,"The Puerto Rican Day",8.4,831
9.21,"The Chronicle",8.3,701
9.22,"The Finale",7.8,1481
